active_clients,local_steps,method,staleness,staleness_weight,step,time,train_loss
,3,Async-LocalSGD,5,0.16666666666666666,40,18,0.2967951808124781
,3,Async-LocalSGD,10,0.09090909090909091,41,19,0.2691781632602215
,3,Async-LocalSGD,9,0.1,42,20,0.25926345959305763
,3,Async-LocalSGD,6,0.14285714285714285,43,20,0.2516692437231541
,3,Async-LocalSGD,5,0.16666666666666666,44,20,0.24355599638074638
,3,Async-LocalSGD,9,0.1,45,21,0.23093956876546146
,3,Async-LocalSGD,8,0.1111111111111111,46,21,0.22333182040601968
,3,Async-LocalSGD,3,0.25,47,22,0.20006407611072063
,3,Async-LocalSGD,8,0.1111111111111111,48,23,0.1806979864835739
,3,Async-LocalSGD,8,0.1111111111111111,49,23,0.16533212885260581
,3,Async-LocalSGD,8,0.1111111111111111,50,23,0.15100229624658823
,3,Async-LocalSGD,8,0.1111111111111111,51,24,0.14431002009660004
,3,Async-LocalSGD,4,0.2,52,24,0.11898608300834894
,3,Async-LocalSGD,7,0.125,53,25,0.1124243044294417
,3,Async-LocalSGD,4,0.2,54,25,0.10663641411811113
,3,Async-LocalSGD,10,0.09090909090909091,55,26,0.10066631035879255
,3,Async-LocalSGD,5,0.16666666666666666,56,26,0.08943246267735958
,3,Async-LocalSGD,10,0.09090909090909091,57,27,0.08616835298016667
,3,Async-LocalSGD,9,0.1,58,27,0.0832456611096859
,3,Async-LocalSGD,4,0.2,59,27,0.07944476511329412
,3,Async-LocalSGD,7,0.125,60,28,0.07468340238556266
,3,Async-LocalSGD,9,0.1,61,29,0.07092831246554851
,3,Async-LocalSGD,8,0.1111111111111111,62,30,0.06249492447823286
,3,Async-LocalSGD,6,0.14285714285714285,63,31,0.05971862794831395
,3,Async-LocalSGD,6,0.14285714285714285,64,31,0.04907791977748275
,3,Async-LocalSGD,6,0.14285714285714285,65,31,0.04620980536565185
,3,Async-LocalSGD,6,0.14285714285714285,66,31,0.043878682190552354
,3,Async-LocalSGD,11,0.08333333333333333,67,32,0.042645913222804664
,3,Async-LocalSGD,6,0.14285714285714285,68,32,0.040015584183856846
,3,Async-LocalSGD,4,0.2,69,32,0.0367503518704325
,3,Async-LocalSGD,9,0.1,70,34,0.03481355928815901
,3,Async-LocalSGD,7,0.125,71,34,0.03288789000362158
,3,Async-LocalSGD,5,0.16666666666666666,72,34,0.03162458527367562
,3,Async-LocalSGD,10,0.09090909090909091,73,35,0.03054018672555685
,3,Async-LocalSGD,2,0.3333333333333333,74,35,0.02828463106416166
,3,Async-LocalSGD,0,1.0,75,36,0.02077573190908879
,3,Async-LocalSGD,10,0.09090909090909091,76,37,0.01977624996798113
,3,Async-LocalSGD,9,0.1,77,37,0.018262482224963607
,3,Async-LocalSGD,9,0.1,78,37,0.01745636898558587
,3,Async-LocalSGD,9,0.1,79,38,0.016138182603754103
,3,Async-LocalSGD,7,0.125,80,38,0.014828959805890917
,3,Async-LocalSGD,4,0.2,81,38,0.01296003928873688
,3,Async-LocalSGD,11,0.08333333333333333,82,39,0.012012235494330526
,3,Async-LocalSGD,9,0.1,83,39,0.01128344793105498
,3,Async-LocalSGD,6,0.14285714285714285,84,39,0.010789430886507034
,3,Async-LocalSGD,4,0.2,85,41,0.010304817842552438
,3,Async-LocalSGD,3,0.25,86,41,0.009751839214004576
,3,Async-LocalSGD,2,0.3333333333333333,87,41,0.00804427230032161
,3,Async-LocalSGD,12,0.07692307692307693,88,42,0.00785503424704075
,3,Async-LocalSGD,3,0.25,89,42,0.007438618427840993
,3,Async-LocalSGD,2,0.3333333333333333,90,42,0.006664785684552044
,3,Async-LocalSGD,12,0.07692307692307693,91,43,0.006284099176991731
,3,Async-LocalSGD,12,0.07692307692307693,92,43,0.005902122153202072
,3,Async-LocalSGD,2,0.3333333333333333,93,43,0.005470422480721026
,3,Async-LocalSGD,12,0.07692307692307693,94,44,0.005349658208433539
,3,Async-LocalSGD,11,0.08333333333333333,95,44,0.004995984089327976
,3,Async-LocalSGD,3,0.25,96,44,0.004672281199600547
,3,Async-LocalSGD,10,0.09090909090909091,97,45,0.0045183106703916565
,3,Async-LocalSGD,9,0.1,98,45,0.004290239900001325
,3,Async-LocalSGD,9,0.1,99,48,0.004116470622830093
,3,Async-LocalSGD,8,0.1111111111111111,100,49,0.003963358275359497
